0_0,0_1,0_2,1_0,1_1,1_2,decay_0,decay_1,W_0,W_1,J_0
0.396,0.444,0.216,-0.056,-0.008,0.008,8.446864162476489,8.270696515978221,4.539049434760162,7.8123029341987555,0.0
0.596,0.736,0.436,0.288,-0.088,-0.024,2.1220120465105645,5.126814660826227,5.0981251066095465,0.03807388865026162,0.0
0.66,0.752,0.5,-0.1,-0.096,-0.052,2.432913357316837,3.039303666376352,5.311061055620821,5.439214812944911,0.0
0.456,0.384,0.176,-0.016,0.004,-0.076,7.744242572662355,8.750907292966037,5.215604006176464,4.432225517436602,0.0
0.608,0.58,0.364,0.1,0.104,-0.012,4.149048552206417,4.8302540684706425,2.3968230142451703,1.3891698611717112,0.0
0.36,0.516,0.212,-0.008,-0.016,-0.008,5.904857321778627,8.920352816030345,4.1155721114971895,5.507143244912245,0.0
0.512,0.472,0.248,-0.016,-0.048,-0.048,9.409442846422088,7.048372845788807,3.6335111926455257,5.818726311508469,0.0
0.3,0.564,0.144,-0.044,-0.02,0.032,5.7999399883744145,9.070056123556665,5.254675359977527,9.005527808234742,0.0
0.416,0.544,0.248,0.056,0.016,-0.024,5.843997978396894,9.65747188251164,4.617435218131187,-0.08672148265883717,0.0
0.628,0.464,0.276,0.052,-0.024,0.036,7.572671169767405,4.932560631842447,3.89602999449449,3.3801391429476553,0.0
0.68,0.536,0.352,0.184,-0.024,0.072,5.650120621111828,5.8044894546742825,6.149471757760219,1.3334530131794482,0.0
0.616,0.444,0.252,-0.128,-0.088,0.072,7.246593627791839,4.588757148144542,6.100103820838999,6.448498296998402,0.0
0.624,0.552,0.392,0.044,-0.004,-0.04,4.934802719095414,4.246757250298231,4.996783913532497,4.416253752049533,0.0
0.772,0.68,0.524,-0.036,0.136,-0.044,4.701720247261724,1.9254275451994123,-0.8933038684487054,4.330355845650638,0.0
0.468,0.668,0.304,0.024,0.16,0.08,4.1676529206336825,6.223883308882866,1.2975700878158012,4.319127308800749,0.0
0.396,0.592,0.228,-0.056,0.052,-0.068,3.9220631150868455,6.899101532560303,2.883541293566429,7.502962267789005,0.0
0.492,0.604,0.312,-0.12,0.06,-0.044,5.766347394192808,6.554033062542986,1.0882566208152031,5.885022002536079,0.0
0.46,0.532,0.232,0.016,-0.056,-0.032,5.333181169764732,8.813114933681229,4.72823034374557,4.416122425634587,0.0
0.56,0.456,0.224,-0.024,-0.012,-0.06,7.501815585602614,4.922953941451779,5.547961179640397,5.351974958423179,0.0
0.364,0.408,0.116,-0.128,-0.084,0.004,6.708827724726417,7.516519744259847,6.635812209104702,7.895145542342609,0.0
0.444,0.564,0.216,0.128,0.024,0.0,6.876046253430569,7.6720435074629245,4.199475010196225,0.9580932846344439,0.0
0.612,0.54,0.32,0.08,-0.012,-0.06,5.64615304285073,4.453241953376803,5.730573882325464,3.513002173656356,0.0
0.508,0.58,0.248,-0.152,-0.112,0.024,3.704641832384285,5.166936019347306,5.492986675037037,5.988101992939165,0.0
0.448,0.5,0.252,-0.132,0.028,-0.032,6.685790248901386,5.4080151702086905,3.306065574193627,7.831315237485289,0.0
0.724,0.508,0.376,0.26,0.024,-0.044,6.912890198048844,3.160150740085924,5.3064976620272315,1.9419620878085206,0.0
0.372,0.552,0.268,-0.096,-0.232,0.024,4.008702546816053,6.74685297335152,7.1357246411877275,7.434397787849293,0.0
0.492,0.54,0.2,-0.172,-0.04,0.004,4.8927961546492265,5.2553900423255255,3.736648523671719,6.327014407524254,0.0
0.78,0.532,0.408,-0.088,0.032,-0.04,6.011860379196749,2.365046028320782,3.6048459086433473,4.594385328530507,0.0
0.576,0.676,0.412,0.068,-0.312,0.028,1.8777274640124033,5.616791036875681,6.4082019662224425,2.5682177200823033,0.0
0.6,0.696,0.416,0.04,-0.084,0.036,2.653811822010878,5.440295486230996,5.490737190490439,2.9346671908489146,0.0
0.576,0.588,0.356,-0.068,-0.112,-0.028,4.279729966512756,4.54181596739268,5.565183836350507,5.658306225818147,0.0
0.58,0.604,0.312,-0.448,0.044,-0.036,5.29207973536611,2.2235312596927437,2.1813256583738694,7.674266844178602,0.0
0.58,0.564,0.336,0.068,-0.324,-0.016,3.1972559349518437,4.821517342244327,8.681760247142176,4.690834604998145,0.0
0.6,0.7,0.42,-0.02,0.144,-0.036,4.270893052798323,4.839342149362606,2.8752118821180015,4.674872810955974,0.0
0.608,0.728,0.424,0.08,-0.852,-0.036,0.22268089882378206,5.224205787321599,7.34483093343826,3.421952291084121,0.0
0.476,0.7,0.336,-0.128,-0.292,0.084,2.804911155030021,4.713399943885122,6.209551478450491,8.476680430866729,0.0
0.468,0.912,0.42,-0.044,0.224,-0.044,0.7346529946948435,6.332389438579465,3.470603290667351,6.137573140785272,0.0
